NOC,Year,Athletes_Count,Sports_Count,Gold,Silver,Bronze,Total_Medals,Is_Host,Total Events,Total Disciplines,Total Sports,sports coverage,Gold winning rate,Silver winning rate,Bronze winning rate,Medal winning rate
AFG,1936,16,2,0,0,0,0,False,129.0,25.0,19.0,0.10526315789473684,0.0,0.0,0.0,0.0
AFG,1948,25,2,0,0,0,0,False,136.0,23.0,17.0,0.11764705882352941,0.0,0.0,0.0,0.0
AFG,1956,12,1,0,0,0,0,False,151.0,23.0,17.0,0.058823529411764705,0.0,0.0,0.0,0.0
AFG,1960,16,2,0,0,0,0,False,150.0,23.0,17.0,0.11764705882352941,0.0,0.0,0.0,0.0
AFG,1964,8,1,0,0,0,0,False,163.0,25.0,19.0,0.05263157894736842,0.0,0.0,0.0,0.0
AFG,1968,5,1,0,0,0,0,False,172.0,24.0,18.0,0.05555555555555555,0.0,0.0,0.0,0.0
AFG,1972,8,1,0,0,0,0,False,195.0,28.0,21.0,0.047619047619047616,0.0,0.0,0.0,0.0
AFG,1980,11,2,0,0,0,0,False,203.0,27.0,21.0,0.09523809523809523,0.0,0.0,0.0,0.0
AFG,1988,5,1,0,0,0,0,False,237.0,31.0,23.0,0.043478260869565216,0.0,0.0,0.0,0.0
AFG,1996,2,1,0,0,0,0,False,271.0,37.0,25.0,0.04,0.0,0.0,0.0,0.0
AFG,2004,5,4,0,0,0,0,False,301.0,40.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0
AFG,2008,4,2,0,0,1,1,False,302.0,42.0,27.0,0.07407407407407407,0.0,0.0,0.0033112582781456954,0.0011037527593818985
AFG,2012,6,4,0,0,1,1,False,302.0,40.0,26.0,0.15384615384615385,0.0,0.0,0.0033112582781456954,0.0011037527593818985
AFG,2016,3,2,0,0,0,0,False,306.0,42.0,28.0,0.07142857142857142,0.0,0.0,0.0,0.0
AFG,2020,5,4,0,0,0,0,False,339.0,50.0,33.0,0.12121212121212122,0.0,0.0,0.0,0.0
