NOC,Year,Athletes_Count,Sports_Count,Gold,Silver,Bronze,Total_Medals,Is_Host,Total Events,Total Disciplines,Total Sports,sports coverage,Gold winning rate,Silver winning rate,Bronze winning rate,Medal winning rate,Value
AFG,2004,5,4,0,0,0,0,False,301.0,40.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0
AFG,2008,4,2,0,0,1,1,False,302.0,42.0,27.0,0.07407407407407407,0.0,0.0,0.0033112582781456954,0.0011037527593818985,0.0
AFG,2012,6,4,0,0,1,1,False,302.0,40.0,26.0,0.15384615384615385,0.0,0.0,0.0033112582781456954,0.0011037527593818985,0.0
AFG,2016,3,2,0,0,0,0,False,306.0,42.0,28.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
AFG,2020,5,4,0,0,0,0,False,339.0,50.0,33.0,0.12121212121212122,0.0,0.0,0.0,0.0,0.0
AFG,2024,7,4,0,0,0,0,False,329.0,48.0,32.0,0.125,0.0,0.0,0.0,0.0,0.0
AIN,2024,46,10,1,3,1,5,False,329.0,48.0,32.0,0.3125,0.00303951367781155,0.00911854103343465,0.00303951367781155,0.005065856129685917,0.020842780799893303
ALB,2004,7,4,0,0,0,0,False,301.0,40.0,27.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.004332214606320604
ALB,2008,12,6,0,0,0,0,False,302.0,42.0,27.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.004317869524842721
ALB,2012,10,5,0,0,0,0,False,302.0,40.0,26.0,0.19230769230769232,0.0,0.0,0.0,0.0,0.004317869524842721
ALB,2016,6,3,0,0,0,0,False,306.0,42.0,28.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0042614267859558885
ALB,2020,10,6,0,0,0,0,False,339.0,50.0,33.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.00384659762980089
ALB,2024,9,4,0,0,2,2,False,329.0,48.0,32.0,0.125,0.0,0.0,0.0060790273556231,0.002026342451874367,0.003963515490889063
ALG,2004,71,10,0,0,0,0,False,301.0,40.0,27.0,0.37037037037037035,0.0,0.0,0.0,0.0,0.01615309734000637
ALG,2008,57,12,0,1,1,2,False,302.0,42.0,27.0,0.4444444444444444,0.0,0.0033112582781456954,0.0033112582781456954,0.002207505518763797,0.016310169127562554
ALG,2012,39,12,1,0,0,1,False,302.0,40.0,26.0,0.46153846153846156,0.0033112582781456954,0.0,0.0,0.0011037527593818985,0.017266813585782952
ALG,2016,74,13,0,2,0,2,False,306.0,42.0,28.0,0.4642857142857143,0.0,0.006535947712418301,0.0,0.002178649237472767,0.017041103604269452
ALG,2020,45,15,0,0,0,0,False,339.0,50.0,33.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.015569812625629578
